FRNM_NM,RN_ADDR,OPR_TIME_INFO,RPRS_TELNO,HMPG_URL,LA_VLUE,LO_VLUE
24시 루시드동물메디컬센터,서울특별시 강북구 월계로 3 (미아동),매일 00:00 - 24:00 ,02-941-7900,https://blog.naver.com/lucidamc,37.60958862,127.0306854
24시 리본동물의료센터,부산광역시 동래구 충렬대로 194 (명륜동),,051-711-0006,http://rebornamc.com,35.20291519,129.0809937
24시 마곡M동물의료센터,"부산광역시 동래구 쇠미로 153 (온천동, 동래 삼정그린코아 포레스트)",매일 00:00 - 24:00 | 13:00 - 14:00 휴게시간,02-2662-7515,https://blog.naver.com/mgmamc21,37.56858826,126.8162842
24시 마음든든동물병원,경기도 안양시 만안구 경수대로 1234 (석수동),월 09:30 - 22:00 | 화 09:30 - 22:00 | 수 09:30 - 22:00 | 목 09:30 - 22:00 | 금 09:30 - 22:00 | 토 09:30 - 22:00 | 일 09:30 - 18:00 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간 | 17:00 - 18:00 휴게시간 | 13:00 - 14:00 휴게시간 | 17:00 - 18:00 휴게시간 | 13:00 - 14:00 휴게시간 | 17:00 - 18:00 휴게시간 | 13:00 - 14:00 휴게시간 | 17:00 - 18:00 휴게시간 | 13:00 - 14:00 휴게시간 | 17:00 - 18:00 휴게시간 | 13:00 - 14:00 휴게시간 | 17:00 - 18:00 휴게시간,0507-1411-2475,https://blog.naver.com/maumamc24,37.41843033,126.9119034
24시 명 동물메디컬센터,"서울특별시 구로구 남부순환로 775 (개봉동, 개봉푸르지오)",매일 10:00 - 19:00 | 13:00 - 14:00 휴게시간,02-2619-5102,https://blog.naver.com/petsong1472,37.50156784,126.8471603
24시 모두의동물병원,경기도 광명시 하안로 289 (하안동),매일 00:00 - 24:00 ,02-6951-2475,https://blog.naver.com/moduamc,37.461689,126.880188
24시 모란동물메디컬센터,경기도 광주시 경충대로 1448 (쌍령동),월 00:00 - 24:00 | 화 00:00 - 24:00 | 수 00:00 - 24:00 | 목 00:00 - 24:00 | 금 00:00 - 24:00 | 토 00:00 - 24:00 | 일 00:00 - 24:00 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간,031-765-1100,https://blog.naver.com/kimsh8774,37.39940643,127.273674
24시 범어동물의료센터,대구광역시 수성구 달구벌대로 2354-1 (수성동3가),매일 00:00 - 24:00 ,053-716-7585,http://www.thebeamc.com/,35.8592186,128.6199036
24시 분당 리더스 동물의료원,경기도 성남시 분당구 성남대로 45 (구미동),매일 00:00 - 24:00 ,0507-1346-8276,http://leadersamc.co.kr,37.34005356,127.1083984
24시 서울YES동물병원,경기도 용인시 수지구 현암로 81 (죽전동),매일 00:00 - 24:00 ,031-272-1313,https://www.seoulyes24.com,37.33174896,127.1183472
24시 성심 동물 메디컬 센터,대전광역시 유성구 계룡로 131 (봉명동),매일 00:00 - 24:00 | 13:00 - 14:00 휴게시간 | 17:00 - 18:00 휴게시간,0507-1326-7566,http://sungsimamc.com/,36.35306931,127.345314
24시 센텀동물메디컬센터 연산점,"부산광역시 금정구 금강로 184 (장전동, 온천 아이브)",매일 00:00 - 24:00 ,051-711-8253,https://neuroamc.com,35.1844368,129.0808868
24시 센트럴동물의료센터,경기도 시흥시 정왕대로 174 (정왕동),매일 00:00 - 24:00 ,031-432-2475,https://www.centralamc24.com,37.3481369,126.73349
24시 소래동물병원,광주 광산구 무진대로 278-11 한국아델리움앤중해마루힐 ,월 10:00 - 20:00 | 화 10:00 - 20:00 | 수 10:00 - 20:00 | 목 10:00 - 20:00 | 금 10:00 - 20:00 | 토 10:00 - 19:00 | 일 정기휴무 (매주 일요일) | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간,0507-1482-3227,http://soraeah.co.kr,37.40010834,126.7333145
24시 수 동물병원,서울특별시 영등포구 영등포로 85-1 (양평동1가),매일 00:00 - 24:00 ,02-2676-7582,https://youtube.com/@sooamc,37.52231598,126.8911743
24시 숨동물병원,경기도 수원시 권선구 권선로 715 (권선동),매일 00:00 - 24:00 | 12:00 - 13:00 휴게시간,031-548-2475,http://24soom.co.kr/,37.25871277,127.0295944
24시 스마트 동물메디컬센터,서울특별시 은평구 은평로 93 (응암동),매일 00:00 - 24:00 ,02-387-7582,https://blog.naver.com/eosksh,37.59978485,126.918129
24시 스마트 동물의료센터,경기도 시흥시 배곧3로 86 (배곧동),매일 00:00 - 24:00 ,031-432-1224,http://www.24smartamc.com,37.37026215,126.7293854
24시 시유동물메디컬센터,서울특별시 용산구 이촌로64길 24 (이촌동),매일 00:00 - 24:00 | 13:00 - 14:00 휴게시간,0507-1439-0179,https://blog.naver.com/seeu_amc,37.52000427,126.9698715
24시 신도림S동물의료센터,"서울특별시 구로구 경인로 619-3 (신도림동, 신도림3차푸르지오아파트)",매일 00:00 - 24:00 ,02-6949-3575,https://blog.naver.com/ssah24,37.50688553,126.8840332
24시 아이 동물메디컬센터,경기도 부천시 오정구 소사로 779 (원종동),매일 00:00 - 24:00 ,0507-1423-5262,https://blog.naver.com/bbamc5262,37.5256424,126.8045578
24시 알파동물메디컬센터,전라남도 목포시 산정로 274 (산정동),,053-572-7585,https://blog.naver.com/alphaamc,35.85922623,128.5564575
24시 양주 힐 동물의료센터,경기도 양주시 옥정동로7길 30 (옥정동),매일 00:00 - 24:00 | 13:00 - 14:00 휴게시간,0507-1365-8306,https://blog.naver.com/24healamc,37.82120895,127.0976257
24시 언제나동물병원,광주광역시 북구 하백로5번길 27 (매곡동),월 09:00 - 19:00 | 화 09:00 - 19:00 | 수 09:00 - 19:00 | 목 09:00 - 19:00 | 금 09:00 - 19:00 | 토 09:00 - 16:30 | 일 정기휴무 (매주 일요일) | 12:00 - 13:00 휴게시간 | 18:30 접수마감 | 12:00 - 13:00 휴게시간 | 18:30 접수마감 | 12:00 - 13:00 휴게시간 | 18:30 접수마감 | 12:00 - 13:00 휴게시간 | 18:30 접수마감 | 12:00 - 13:00 휴게시간 | 18:30 접수마감 | 12:00 - 13:00 휴게시간 | 16:00 접수마감,062-571-0011,http://alwaysamc.modoo.at/,35.18812943,126.8905334
24시 연산동물의료센터,강원 태백시 황지로 9 2주공후문 ,매일 00:00 - 24:00 | 13:00 - 14:00 휴게시간,051-791-0175,https://blog.naver.com/ysamc24,35.17495346,129.085556
24시 예담동물의료센터,서울특별시 은평구 연서로 122-2 (역촌동),매일 00:00 - 24:00 ,0507-1354-7519,https://blog.naver.com/24yedamamc,37.60958099,126.9167938
24시 예스 동물병원,서울특별시 서초구 잠원로 24 (반포동),월 11:00 - 19:00 | 화 11:00 - 19:00 | 수 11:00 - 19:00 | 목 11:00 - 19:00 | 금 11:00 - 19:00 | 토 11:00 - 16:00 | 일 정기휴무 (매주 일요일),02-534-3475,https://blog.naver.com/numberhana,37.50711441,127.0098724
24시송도오케이동물의료센터,"인천광역시 연수구 랜드마크로 68 (송도동, 랜드마크시티센트럴더샵)",매일 00:00 - 24:00 ,0507-1489-7975,https://blog.naver.com/okay24amc,37.41511536,126.6182251
24시 우리동물메디컬센터,서울특별시 금천구 남부순환로 1386 (독산동),매일 00:00 - 24:00 ,02-853-7582,https://blog.naver.com/wramc,37.47974014,126.9047394
24시 우리들동물메디컬센터,경기 평택시 동부공원로 15 단지내 ,매일 00:00 - 24:00 ,02-2642-7588,https://blog.naver.com/truthy2000,37.52225113,126.8604889
24시 이천동물의료센터,"충청북도 제천시 청풍호로10길 31 (강제동, 강저코아루파크)",월 09:00 - 20:00 | 화 09:00 - 20:00 | 수 09:00 - 20:00 | 목 10:00 - 20:00 | 금 10:00 - 20:00 | 토 09:00 - 20:00 | 일 09:00 - 20:00,0507-1347-7510,https://blog.naver.com/asdfg9515,37.28813934,127.4527588
24시 일산우리 동물의료센터,경기도 고양시 일산서구 중앙로 1455 (주엽동),매일 00:00 - 24:00 ,0507-1405-5551,https://blog.naver.com/wooriamc24,37.67090607,126.7585297
24시 청라공감동물의료센터,"인천광역시 서구 중봉대로586번길 22 (청라동, 청라 엑슬루타워)",매일 00:00 - 24:00 ,032-563-0094,https://blog.naver.com/chungra_ah,37.53080368,126.6513519
24시 청주 고려동물메디컬센터,울산 북구 화암8길 36 트리움오션뷰 ,매일 00:00 - 24:00 | 12:30 - 14:00 휴게시간,0507-1342-5678,https://vetgate.co.kr/,36.63529205,127.4745255
치유동물의료센터,"인천광역시 남동구 장승남로 34 (만수동, 만수주공9,10단지아파트)",매일 10:00 - 21:00 | 13:30 - 14:30 휴게시간 | 20:30 접수마감,02-6964-8276,https://blog.naver.com/cheeu_amc,37.60143661,126.9314346
24시 폴동물병원,경기도 성남시 분당구 성남대로 385 (정자동),매일 00:00 - 24:00 ,0507-1393-7558,https://blog.naver.com/hwrat,37.37055969,127.1075134
24시 하랑동물의료센터,경기도 남양주시 경춘로 470-1 (다산동),매일 00:00 - 24:00 ,0507-1488-6768,https://blog.naver.com/24harangamc,37.60970306,127.1651993
24시 해든동물메디컬센터,경기도 부천시 원미구 신흥로 190-1 (중동),매일 00:00 - 24:00 ,032-715-7579,https://hd24amc.com,37.50126266,126.7772446
24시 온동물의료센터,부산 부산진구 개금온정로 10 개금롯데캐슬정문쪽 ,매일 00:00 - 24:00 | 13:00 - 14:30 휴게시간 | 19:00 - 20:00 휴게시간,0507-1403-6061,https://blog.naver.com/amcon,35.16170883,129.0628967
24시 휴동물의료센터,경기도 성남시 수정구 산성대로 309 (신흥동),,031-735-7582,https://blog.naver.com/hueanimal,37.44255066,127.151001
OK동물병원,서울특별시 강남구 도곡로51길 4 (역삼동),월 09:00 - 20:00 | 화 09:00 - 20:00 | 수 09:00 - 20:00 | 목 09:00 - 20:00 | 금 09:00 - 20:00 | 토 09:00 - 20:00 | 일 09:00 - 20:00 | 13:00 - 14:00 휴게시간 | 19:00 접수마감 | 13:00 - 14:00 휴게시간 | 19:00 접수마감 | 13:00 - 14:00 휴게시간 | 19:00 접수마감 | 13:00 - 14:00 휴게시간 | 19:00 접수마감 | 13:00 - 14:00 휴게시간 | 19:00 접수마감 | 13:00 - 14:00 휴게시간 | 19:00 접수마감 | 13:00 - 14:00 휴게시간 | 19:00 접수마감,02-569-7582,https://blog.naver.com/24okamc,37.49556351,127.0498199
24시SD동물의료센터,"서울특별시 중구 왕십리로 407 (신당동, 신당 파인힐 하나유보라)",매일 00:00 - 24:00 ,0507-1329-0303,https://sdamc.co.kr,37.56478119,127.0247116
24시SKY동물의료센터,서울특별시 강동구 천호대로 1122 (성내동),매일 00:00 - 24:00 ,02-472-7579,https://blog.naver.com/skyamc_gd,37.5343399,127.1359711
24시건국본동물병원,인천광역시 미추홀구 인하로 287 (주안동),매일 09:30 - 22:00 ,0507-1376-0117,https://blog.naver.com/kvet95,37.448246,126.679985
24시고방동물병원,경기도 이천시 부발읍 경충대로 2260,월 09:00 - 19:00 | 화 09:00 - 19:00 | 수 09:00 - 19:00 | 목 09:00 - 19:00 | 금 09:00 - 19:00 | 토 09:00 - 19:00 | 일 09:00 - 12:00,031-632-7582,https://blog.naver.com/wonil771,37.26092911,127.4758759
24시대전동물메디컬센터숲,대전광역시 유성구 한밭대로492번길 16-8 (봉명동),월 00:00 - 24:00 | 화 00:00 - 24:00 | 수 00:00 - 24:00 | 목 00:00 - 24:00 | 금 00:00 - 24:00 | 토 00:00 - 24:00 | 일 00:00 - 24:00 | 12:30 - 14:00 휴게시간 | 17:00 - 18:00 휴게시간 | 12:30 - 14:00 휴게시간 | 17:00 - 18:00 휴게시간 | 12:30 - 14:30 휴게시간 | 17:00 - 18:00 휴게시간 | 12:30 - 14:00 휴게시간 | 17:00 - 18:00 휴게시간 | 12:30 - 14:00 휴게시간 | 17:00 - 18:00 휴게시간 | 12:30 - 14:00 휴게시간 | 17:00 - 18:00 휴게시간 | 12:30 - 14:00 휴게시간 | 17:00 - 18:00 휴게시간,042-826-7584,http://soopamc.com,36.35922623,127.3527222
24시더나은동물메디컬센터,경남 거제시 중곡로 40 덕산1차아파트 ,월 10:00 - 24:00 | 화 10:00 - 24:00 | 수 10:00 - 24:00 | 목 10:00 - 24:00 | 금 10:00 - 24:00 | 토 10:00 - 24:00 | 일 11:00 - 24:00 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간 | 13:00 - 14:00 휴게시간,055-716-1175,http://thenaeun75.dothome.co.kr/,34.88298798,128.6252747
더블유동물의료센터,인천 연수구 컨벤시아대로 55 대우이안 ,매일 10:00 - 21:00 ,032-565-8270,https://blog.naver.com/w24amc,37.53238678,126.647049
24시더케어동물의료센터,부산 수영구 수영로540번길 12 더숲스카이뷰 ,매일 00:00 - 24:00 ,031-516-8585,https://blog.naver.com/thecareamc,37.60336304,127.1472549
24시도안동물메디컬센터,대전광역시 서구 계백로 1159 (도안동),매일 00:00 - 24:00 | 13:00 - 14:00 휴게시간,0507-1321-1502,https://blog.naver.com/24doanamc,36.30523682,127.3518524
24시독스동물병원,서울 영등포구 신길로 119 한화포레나 ,매일 09:00 - 22:00 ,032-433-0075,https://dogsamc.com/,37.46376801,126.7084656
24시동물병원,"경기도 용인시 기흥구 마북로247번길 3 (마북동, 용인 마북 신원아침도시 아파트)",월 09:00 - 19:00 | 화 09:00 - 19:00 | 수 09:00 - 19:00 | 목 09:00 - 19:00 | 금 09:00 - 19:00 | 토 정보없음 | 일 정보없음,064-702-2475,,33.49271774,126.5300293
24시동물병원,경기도 용인시 기흥구 구갈로 53-1 (구갈동),월 09:00 - 22:00 | 화 09:00 - 22:00 | 수 09:00 - 22:00 | 목 09:00 - 22:00 | 금 09:00 - 22:00 | 토 09:00 - 20:00 | 일 10:00 - 18:00,031-281-7585,,37.27910233,127.1110153
24시 공감동물메디컬센터,"인천광역시 서구 봉오재3로 66 (가정동, 루원시티프라디움)",,062-716-2979,https://www.instagram.com/gonggam24amc/,35.19049835,126.8180313
24시동탄윌동물의료센터,"경기도 화성시 동탄반석로 156 (반송동, 동탄현대하이페리온)",매일 00:00 - 24:00 ,0507-1427-3531,https://blog.naver.com/24dtwillamc,37.20232391,127.071579
24시똑똑똑동물메디컬센터,제주특별자치도 제주시 도령로 129 (연동),매일 00:00 - 24:00 | 13:00 - 14:00 휴게시간 | 17:00 - 18:00 휴게시간,0507-1434-7593,https://www.instagram.com/knockamc/,33.49301529,126.4907455
24시 라이프동물의료센터,대구광역시 달서구 달구벌대로 1601 (감삼동),매일 00:00 - 24:00 ,053-567-2475,https://blog.naver.com/lifeamc,35.85219574,128.5416565
24시라인동물의료센터,경기도 고양시 덕양구 동송로 70 (삼송동),매일 00:00 - 24:00 ,02-381-2475,https://lineamc.com/,37.65267944,126.8961105
24시마음반려동물의료원,경기도 수원시 팔달구 경수대로 461 (인계동),매일 00:00 - 24:00 | 12:00 - 13:00 휴게시간,031-211-0975,http://maumah.co.kr/,37.26745987,127.0264282
메타동물의료센터,"경기도 화성시 동탄문화센터로 75 (반송동, 서해더블루럭스)","월 09:00 - 20:00 | 화 09:00 - 20:00 | 수 09:00 - 20:00 | 목 09:00 - 20:00 | 금 09:00 - 20:00 | 토 09:00 - 19:30 | 일 10:00 - 18:00 | 13:00 - 14:00 휴게시간 | 12:30, 17:30 접수마감 | 13:00 - 14:00 휴게시간 | 12:30, 19:30 접수마감 | 13:00 - 14:00 휴게시간 | 12:30, 19:30 접수마감 | 13:00 - 14:00 휴게시간 | 12:30, 19:30 접수마감 | 13:00 - 14:00 휴게시간 | 12:30, 19:30 접수마감 | 13:00 - 14:00 휴게시간 | 12:30, 19:30 접수마감 | 13:00 - 14:00 휴게시간 | 12:30, 19:00 접수마감",031-831-5508,https://blog.naver.com/metaamc,37.19997787,127.0735245
24시보듬동물병원,강원특별자치도 강릉시 경강로 2070 (임당동),매일 09:00 - 21:00 ,033-655-7975,https://blog.naver.com/bodeumah,37.75323105,128.894043
24시부평종합동물의료센터,인천광역시 부평구 부평대로 138 (부평동),매일 00:00 - 24:00 | 12:30 - 14:00 휴게시간,032-511-6836,https://bpanimal.com/,37.50378036,126.7220001
24시블레스동물메디컬센터,경기도 용인시 기흥구 동백3로11번길 9 (중동),매일 00:00 - 24:00 ,031-546-0942,http://blessamc.com,37.26968002,127.1529236
24시블루밍동물병원,충청남도 아산시 둔포면 아산밸리중앙로 50 (아산테크노밸리이지더원1단지아파트),매일 08:00 - 24:00 ,062-416-7975,https://blog.naver.com/bloomingah,35.17331314,126.8762589
24시사람앤동물메디컬센터,경기도 용인시 수지구 수지로 124 (성복동),매일 00:00 - 24:00 | 12:00 - 13:10 휴게시간 | 09:00 - 09:30 휴게시간,0507-1369-0334,http://www.snamc.co.kr/,37.31268311,127.0797424
24시샤인동물메디컬센터,"부산광역시 사하구 승학로 210 (괴정동, 청룡빌리지)",매일 00:00 - 24:00 ,0507-1495-7775,https://shineamc.com,37.51082993,127.1115646
24시서울플러스종합동물병원,서울특별시 강서구 등촌로 55 (화곡동),,02-2652-7515,,37.53481674,126.8632355
24시센트럴동물메디컬센터,서울특별시 성동구 고산자로 207 (행당동),매일 00:00 - 24:00 ,02-3395-7975,http://www.24시동물병원.com,37.55867386,127.0337372
24시송도힐동물메디컬센터,부산 해운대구 해운대해변로 287 씨클라우드호텔 ,매일 00:00 - 24:00 ,032-834-7275,https://blog.naver.com/vet810,37.39661026,126.6518936
24시스마일동물의료센터,경기도 이천시 구만리로 177 (진리동),월 09:00 - 19:30 | 화 09:00 - 19:30 | 수 09:00 - 19:30 | 목 09:00 - 19:30 | 금 09:00 - 19:30 | 토 09:00 - 19:30 | 일 09:00 - 19:30 | 12:30 - 13:30 휴게시간 | 19:00 접수마감 | 12:30 - 13:30 휴게시간 | 19:00 접수마감 | 12:30 - 13:30 휴게시간 | 19:00 접수마감 | 12:30 - 13:30 휴게시간 | 19:00 접수마감 | 12:30 - 13:30 휴게시간 | 19:00 접수마감 | 12:30 - 13:30 휴게시간 | 19:00 접수마감 | 12:30 - 13:30 휴게시간 | 19:00 접수마감,0507-1427-7582,,37.27321625,127.4530334
24시스카이동물메디컬센터,경기도 수원시 팔달구 인계로 91 (인계동),매일 00:00 - 24:00 ,031-895-5775,https://blog.naver.com/skyamg_sw,37.26860428,127.0277786
24시스카이동물병원,인천광역시 계양구 장제로 714 (작전동),매일 00:00 - 24:00 ,0507-1341-7575,https://gy.skyamg.com/,37.53135681,126.7342377
24시쓰담쓰담동물메디컬센터,경기도 용인시 기흥구 중부대로 364 (신갈동),,0507-1378-4480,https://m.booking.naver.com/booking/13/bizes/193817/items/4939966?area=bmp,37.27125168,127.1074753
24시아프리카동물메디컬센터,서울특별시 강서구 공항대로 335 (등촌동),,02-3663-7975,https://www.instagram.com/24africaamc_official,37.55820465,126.8449249
24시아프리카동물병원,경기도 안산시 단원구 원포공원2로 35 (초지동),매일 00:00 - 24:00 | 13:00 - 14:00 휴게시간,0507-1359-7534,https://blog.naver.com/africa24_amc,37.30175018,126.8135223
24시온누리동물메디컬센터,경기도 안산시 단원구 광덕대로 251 (고잔동),매일 00:00 - 24:00 | 13:00 - 14:00 휴게시간 | 18:00 - 19:00 휴게시간,031-487-7500,http://www.24onnuri.com/,37.31915665,126.8298798
24시와이즈동물메디컬센터,경기도 하남시 덕풍동로 111-50 (덕풍동),매일 00:00 - 24:00 | 13:00 - 14:00 휴게시간,0507-1430-8323,https://blog.naver.com/wiseamc,37.55205154,127.2086182
24시웰니스동물의료센터 본원,경기도 부천시 원미구 부흥로303번길 62 (중동),일 월 화 수 목 금,0507-1339-7576,https://blog.naver.com/vetlove2000,37.49732208,126.7759628
24시위드유동물의료센터,경기도 시흥시 은계번영길 1 (은행동),,0507-1353-4975,https://blog.naver.com/withuamc,37.43656158,126.8016052
24시위드힐동물메디컬센터,경기도 남양주시 두물로11번길 42 (별내동),매일 00:00 - 24:00 ,0507-1362-3256,http://withhealamc.com/,37.65822983,127.1250687
24시이지동물의료센터,경기도 부천시 원미구 부일로 712 (역곡동),월 09:30 - 20:00 | 화 09:30 - 20:00 | 수 09:30 - 20:00 | 목 09:30 - 20:00 | 금 09:30 - 20:00 | 토 09:30 - 20:00 | 일 10:00 - 17:00,0507-1408-7976,http://ezamc.kr/,37.48483276,126.8089142
24시잠실베스트동물메디컬센터,서울특별시 송파구 삼학사로 88 (석촌동),매일 00:00 - 24:00 ,0507-1479-7976,https://blog.naver.com/24bestamc,37.50496292,127.0974121
